[5743.218121 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.734188 0 0.000000 0
[5794.966402 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.766191 0 0.000000 0
[5846.108902 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.798186 0 0.000000 0
[5847.251350 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.830189 0 0.000000 0
[5898.675464 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.860189 0 0.000000 0
[5899.363069 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.890170 0 0.000000 0
[5950.370777 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.922187 0 0.000000 0
[6001.505881 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.954187 0 0.000000 0
[6002.109266 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 5.984100 0 0.000000 0
[6053.227079 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.014185 0 0.000000 0
[6053.810725 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.044193 0 0.000000 0
[6105.029371 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.076184 0 0.000000 0
[6157.819787 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.108194 0 0.000000 0
[6158.412131 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.140104 0 0.000000 0
[6210.865412 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.170188 0 0.000000 0
[6214.294318 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.202185 0 0.000000 0
[6265.894527 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.232180 0 0.000000 0
[6266.514370 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.264100 0 0.000000 0
[6318.035360 2023-06-06 10:30:42 ] [I|ap]:[ADSP]tof_hpf 6.294100 0 0.000000 0
[6369.182808 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.326187 0 0.000000 0
[6369.596610 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.354182 0 0.000000 0
[6420.352548 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.386191 0 0.000000 0
[6420.716714 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.416191 0 0.000000 0
[6471.503016 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.452192 0 0.000000 0
[6522.201714 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.480187 0 0.000000 0
[6522.506558 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.512186 0 0.000000 0
[6573.411506 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.542192 0 0.000000 0
[6573.987391 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.572187 0 0.000000 0
[6624.826818 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.602189 0 0.000000 0
[6675.875360 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.634183 0 0.000000 0
[6676.362443 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.664188 0 0.000000 0
[6727.155516 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.719231 0 0.000000 0
[6778.093693 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.729230 0 0.000000 0
[6778.390985 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.759246 0 0.000000 0
[6829.245099 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.789221 0 0.000000 0
[6829.699474 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.821221 0 0.000000 0
[6880.771714 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.851237 0 0.000000 0
[6931.464266 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.883221 0 0.000000 0
[6931.791245 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.913218 0 0.000000 0
[6982.629683 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.945238 0 0.000000 0
[6983.074995 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 6.977219 0 0.000000 0
[7034.090724 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.007219 0 0.000000 0
[7084.932704 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.037227 0 0.000000 0
[7085.420516 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.069218 0 0.000000 0
[7136.210568 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.101222 0 0.000000 0
[7136.666558 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.129219 0 0.000000 0
[7187.471766 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.161222 0 0.000000 0
[7238.206297 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.193224 0 0.000000 0
[7238.503589 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.223249 0 0.000000 0
[7289.276245 2023-06-06 10:30:43 ] [I|ap]:[ADSP]tof_hpf 7.253230 0 0.000000 0
