[5798.905934 2023-06-06 16:19:18 ] [I|ap]:[ADSP]tof_hpf 5.753150 0 0.000000 0
[5804.447392 2023-06-06 16:19:18 ] [I|ap]:[ADSP]tof_hpf 5.783141 0 0.000000 0
[5855.799111 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.815130 0 0.000000 0
[5856.491871 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.845127 0 0.000000 0
[5907.425569 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.877141 0 0.000000 0
[5907.812028 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.907130 0 0.000000 0
[5958.865569 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.937132 0 0.000000 0
[6010.434215 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.969120 0 0.000000 0
[6012.607757 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 5.999126 0 0.000000 0
[6063.823746 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.033147 0 0.000000 0
[6064.374215 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.063136 0 0.000000 0
[6115.337236 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.093139 0 0.000000 0
[6166.889788 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.127133 0 0.000000 0
[6167.491871 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.157132 0 0.000000 0
[6218.774788 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.189134 0 0.000000 0
[6270.277080 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.219137 0 0.000000 0
[6272.309736 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.249133 0 0.000000 0
[6323.435882 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.281146 0 0.000000 0
[6326.095257 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.311134 0 0.000000 0
[6377.205152 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.341129 0 0.000000 0
[6389.527548 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.373137 0 0.000000 0
[6441.301871 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.405132 0 0.000000 0
[6442.310673 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.435172 0 0.000000 0
[6493.340569 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.465127 0 0.000000 0
[6545.319475 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.497130 0 0.000000 0
[6546.171350 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.529131 0 0.000000 0
[6597.354684 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.559132 0 0.000000 0
[6598.272444 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.591138 0 0.000000 0
[6660.189319 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.621124 0 0.000000 0
[6661.022965 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.653133 0 0.000000 0
[6712.182392 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.685131 0 0.000000 0
[6763.168486 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.715173 0 0.000000 0
[6815.266038 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.767127 0 0.000000 0
[6816.824111 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.775126 0 0.000000 0
[6818.605517 2023-06-06 16:19:19 ] [I|ap]:[ADSP]tof_hpf 6.807129 0 0.000000 0
[6870.301819 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.839126 0 0.000000 0
[6871.173850 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.869126 0 0.000000 0
[6922.485881 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.901126 0 0.000000 0
[6973.545517 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.931127 0 0.000000 0
[6974.253798 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.963187 0 0.000000 0
[7025.311663 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 6.993170 0 0.000000 0
[7026.436663 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.023175 0 0.000000 0
[7078.976298 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.055166 0 0.000000 0
[7130.519683 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.085170 0 0.000000 0
[7131.362131 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.117204 0 0.000000 0
[7182.929215 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.149179 0 0.000000 0
[7183.554267 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.179078 0 0.000000 0
[7235.150725 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.211070 0 0.000000 0
[7286.940360 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.243068 0 0.000000 0
[7287.563277 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.271086 0 0.000000 0
[7341.624996 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.305071 0 0.000000 0
[7342.344110 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.335061 0 0.000000 0
[7393.512027 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.365168 0 0.000000 0
[7444.849944 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.395179 0 0.000000 0
[7445.149579 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.427172 0 0.000000 0
[7496.321298 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.457179 0 0.000000 0
[7497.067860 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.489168 0 0.000000 0
[7548.253642 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.521172 0 0.000000 0
[7600.375152 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.553163 0 0.000000 0
[7601.393121 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.583171 0 0.000000 0
[7654.371350 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.613167 0 0.000000 0
[7655.006819 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.645172 0 0.000000 0
[7706.300725 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.675169 0 0.000000 0
[7708.928173 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.705176 0 0.000000 0
[7759.981610 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.735169 0 0.000000 0
[7811.404683 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.769171 0 0.000000 0
[7812.162392 2023-06-06 16:19:20 ] [I|ap]:[ADSP]tof_hpf 7.799188 0 0.000000 0
[7863.366194 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.831169 0 0.000000 0
[7864.168381 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.861175 0 0.000000 0
[7915.269319 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.893169 0 0.000000 0
[7966.688954 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.923172 0 0.000000 0
[7967.010725 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.953175 0 0.000000 0
[8018.002600 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 7.985172 0 0.000000 0
[8018.678589 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.015173 0 0.000000 0
[8070.173016 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.047180 0 0.000000 0
[8123.173693 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.077192 0 0.000000 0
[8124.193589 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.107177 0 0.000000 0
[8175.254735 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.141169 0 0.000000 0
[8176.262391 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.173165 0 0.000000 0
[8228.598381 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.203171 0 0.000000 0
[8280.199839 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.235164 0 0.000000 0
[8282.170412 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.263171 0 0.000000 0
[8334.039735 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.295163 0 0.000000 0
[8334.390673 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.327179 0 0.000000 0
[8385.247756 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.355171 0 0.000000 0
[8436.340568 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.389167 0 0.000000 0
[8437.005464 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.419190 0 0.000000 0
[8488.415412 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.449167 0 0.000000 0
[8489.348120 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.483165 0 0.000000 0
[8541.134735 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.511172 0 0.000000 0
[8592.653277 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.545166 0 0.000000 0
[8593.021818 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.573164 0 0.000000 0
[8644.191975 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.605166 0 0.000000 0
[8644.820672 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.635183 0 0.000000 0
[8696.357547 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.667169 0 0.000000 0
[8748.900933 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.699169 0 0.000000 0
[8749.487443 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.731175 0 0.000000 0
[8801.374891 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.759172 0 0.000000 0
[8802.822027 2023-06-06 16:19:21 ] [I|ap]:[ADSP]tof_hpf 8.791174 0 0.000000 0
[8854.334162 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.823163 0 0.000000 0
[8854.959422 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.853188 0 0.000000 0
[8906.233954 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.885166 0 0.000000 0
[8957.996558 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.915180 0 0.000000 0
[8958.682079 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.947175 0 0.000000 0
[9011.249318 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 8.975165 0 0.000000 0
[9011.568381 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.009173 0 0.000000 0
[9062.928849 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.039189 0 0.000000 0
[9114.370933 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.071177 0 0.000000 0
[9116.401349 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.101171 0 0.000000 0
[9167.619839 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.133176 0 0.000000 0
[9168.680464 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.163163 0 0.000000 0
[9220.443068 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.193164 0 0.000000 0
[9272.132287 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.227192 0 0.000000 0
[9274.095464 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.255178 0 0.000000 0
[9325.407131 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.287179 0 0.000000 0
[9326.330933 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.319167 0 0.000000 0
[9380.635360 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.351174 0 0.000000 0
[9382.504370 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.379164 0 0.000000 0
[9433.871610 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.411176 0 0.000000 0
[9484.877391 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.443168 0 0.000000 0
[9485.191662 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.473174 0 0.000000 0
[9535.987235 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.514133 0 0.000000 0
[9586.824839 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.540160 0 0.000000 0
[9587.203328 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.575187 0 0.000000 0
[9638.283380 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.599164 0 0.000000 0
[9640.583797 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.629165 0 0.000000 0
[9692.310516 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.661170 0 0.000000 0
[9693.029214 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.689164 0 0.000000 0
[9744.367078 2023-06-06 16:19:22 ] [I|ap]:[ADSP]tof_hpf 9.721172 0 0.000000 0
