[5886.857391 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 5.849145 0 0.000000 0 -0.500000
[5888.098745 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 5.883144 0 0.000000 0 -0.500000
[5938.931037 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 5.913145 0 0.000000 0 -0.500000
[5990.838016 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 5.943144 0 0.000000 0 -0.500000
[5991.795777 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 5.975147 0 0.000000 0 -0.500000
[6043.303381 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.005145 0 0.000000 0 -0.500000
[6045.397808 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.037055 0 0.000000 0 -0.500000
[6097.190724 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.069146 0 0.000000 0 -0.500000
[6148.659527 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.099155 0 0.000000 0 -0.500000
[6149.231037 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.131154 0 0.000000 0 -0.500000
[6201.210360 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.163142 0 0.000000 0 -0.500000
[6203.068016 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.191165 0 0.000000 0 -0.500000
[6254.215985 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.225157 0 0.000000 0 -0.500000
[6270.420672 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.255163 0 0.000000 0 -0.500000
[6322.582756 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.285153 0 0.000000 0 -0.500000
[6323.360568 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.317142 0 0.000000 0 -0.500000
[6374.981089 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.347146 0 0.000000 0 -0.500000
[6427.282183 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.381144 0 0.000000 0 -0.500000
[6428.138329 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.409140 0 0.000000 0 0.854940
[6479.541870 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.441154 0 0.000000 0 0.856003
[6480.597026 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.471155 0 0.000000 0 0.857479
[6531.566089 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.501155 0 0.000000 0 0.857997
[6582.728641 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.535145 0 0.000000 0 0.850675
[6583.264735 2023-06-08 20:53:45 ] [I|ap]:[ADSP]tof_hpf 6.565153 0 0.000000 0 0.844285
