[5768.048589 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.732920 0 0.000000 0 -0.500000
[5769.588381 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.764922 0 0.000000 0 -0.500000
[5820.946923 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.796921 0 0.000000 0 -0.500000
[5871.953694 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.826924 0 0.000000 0 -0.500000
[5872.960725 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.858925 0 0.000000 0 -0.500000
[5924.383433 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.886921 0 0.000000 0 -0.500000
[5925.044735 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.918925 0 0.000000 0 -0.500000
[5976.151454 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.948926 0 0.000000 0 -0.500000
[6028.163225 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 5.980926 0 0.000000 0 -0.500000
[6030.515829 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.010920 0 0.000000 0 -0.500000
[6082.209683 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.042928 0 0.000000 0 -0.500000
[6083.574579 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.074924 0 0.000000 0 -0.500000
[6135.297548 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.104927 0 0.000000 0 -0.500000
[6187.933745 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.136926 0 0.000000 0 -0.500000
[6188.548277 2023-06-27 15:00:42 ] [I|ap]:[ADSP]tof_hpf 6.168925 0 0.000000 0 -0.500000
[6239.593745 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.198930 0 0.000000 0 -0.500000
[6240.324527 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.228865 0 0.000000 0 -0.500000
[6291.677756 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.258871 0 0.000000 0 -0.500000
[6292.211193 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.290864 0 0.000000 0 1.116000
[6343.300933 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.322864 0 0.000000 0 1.116000
[6396.157339 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.352864 0 0.000000 0 1.098000
[6398.150620 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.384861 0 0.000000 0 1.082000
[6450.698068 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.416925 0 0.000000 0 1.036000
[6451.094787 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.446937 0 0.000000 0 0.888000
[6502.397912 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.476924 0 0.000000 0 0.888000
[6554.017131 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.508925 0 0.000000 0 0.888000
[6555.429995 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.538924 0 0.000000 0 0.888000
[6606.410620 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.570926 0 0.000000 0 0.979000
[6606.752079 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.600924 0 0.000000 0 0.982000
[6657.488224 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.632924 0 0.000000 0 0.991000
[6709.204370 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.684959 0 0.000000 0 1.012000
[6709.502027 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.694980 0 0.000000 0 1.012000
[6761.174787 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.724964 0 0.000000 0 1.040000
[6762.046297 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.756964 0 0.000000 0 1.040000
[6814.851037 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.786968 0 0.000000 0 1.040000
[6867.286506 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.818972 0 0.000000 0 1.040000
[6868.408068 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.848973 0 0.000000 0 1.032000
[6919.977235 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.880960 0 0.000000 0 0.608000
[6920.605620 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.910959 0 0.000000 0 0.407000
[6971.911714 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.940964 0 0.000000 0 0.407000
[7023.127860 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 6.974959 0 0.000000 0 0.407000
[7025.152287 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.002973 0 0.000000 0 0.407000
[7077.909266 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.034963 0 0.000000 0 0.437000
[7078.582808 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.064960 0 0.000000 0 0.447000
[7134.340256 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.096911 0 0.000000 0 0.473000
[7134.856193 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.128916 0 0.000000 0 0.568000
[7185.709058 2023-06-27 15:00:43 ] [I|ap]:[ADSP]tof_hpf 7.158912 0 0.000000 0 0.814000
[7236.386141 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.190910 0 0.000000 0 0.963000
[7236.705464 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.222913 0 0.000000 0 1.025000
[7287.731245 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.250917 0 0.000000 0 1.037000
[7289.199214 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.282971 0 0.000000 0 1.044000
[7341.221714 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.312984 0 0.000000 0 1.048000
[7395.097235 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.344966 0 0.000000 0 1.057000
[7397.385464 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.374959 0 0.000000 0 1.068000
[7448.292808 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.408962 0 0.000000 0 1.068000
[7448.633589 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.436967 0 0.000000 0 1.071000
[7499.509474 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.468981 0 0.000000 0 1.071000
[7550.497339 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.500976 0 0.000000 0 1.071000
[7550.816245 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.530961 0 0.000000 0 1.101000
[7602.004266 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.562961 0 0.000000 0 1.146000
[7602.495672 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.592961 0 0.000000 0 1.156000
[7653.646089 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.624968 0 0.000000 0 1.156000
[7704.387599 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.654965 0 0.000000 0 1.156000
[7704.750984 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.686970 0 0.000000 0 1.156000
[7755.654422 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.716997 0 0.000000 0 1.156000
[7755.930828 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.748966 0 0.000000 0 1.156000
[7806.699370 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.778966 0 0.000000 0 1.156000
[7857.404734 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.810959 0 0.000000 0 1.180000
[7857.857703 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.840961 0 0.000000 0 1.243000
[7908.543745 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.872970 0 0.000000 0 1.273000
[7909.071401 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.904963 0 0.000000 0 1.277000
[7960.185047 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.932963 0 0.000000 0 1.278000
[8012.958536 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.964962 0 0.000000 0 1.291000
[8013.426193 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 7.996964 0 0.000000 0 1.299000
[8064.311036 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.026980 0 0.000000 0 1.299000
[8064.810516 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.058966 0 0.000000 0 1.300000
[8115.709214 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.088972 0 0.000000 0 1.318000
[8166.384995 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.120972 0 0.000000 0 1.328000
[8166.731505 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.150959 0 0.000000 0 1.329000
[8217.389995 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.182965 0 0.000000 0 1.333000
[8217.975463 2023-06-27 15:00:44 ] [I|ap]:[ADSP]tof_hpf 8.212972 0 0.000000 0 1.333000
[8268.649786 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.244974 0 0.000000 0 1.333000
[8319.284005 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.274961 0 0.000000 0 1.335000
[8319.627443 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.306962 0 0.000000 0 1.342000
[8370.301088 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.336962 0 0.000000 0 1.348000
[8370.623172 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.366990 0 0.000000 0 1.353000
[8421.550620 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.398979 0 0.000000 0 1.366000
[8472.424213 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.430959 0 0.000000 0 1.370000
[8472.773015 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.460965 0 0.000000 0 1.374000
[8523.487963 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.490961 0 0.000000 0 1.340664
[8523.810620 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.522978 0 0.000000 0 1.334776
[8576.149161 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.554958 0 0.000000 0 1.338189
[8627.011765 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.586968 0 0.000000 0 1.338621
[8627.371505 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.614969 0 0.000000 0 1.339211
[8679.061817 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.648965 0 0.000000 0 1.351980
[8680.320776 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.678970 0 0.000000 0 1.355672
[8731.854474 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.710882 0 0.000000 0 1.343728
[8783.263484 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.740889 0 0.000000 0 1.341269
[8784.243901 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.770876 0 0.000000 0 1.339120
[8835.113640 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.800964 0 0.000000 0 1.336767
[8835.725255 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.832970 0 0.000000 0 1.334083
[8886.672651 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.862966 0 0.000000 0 1.337215
[8937.423536 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.894962 0 0.000000 0 1.343672
[8937.941557 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.926989 0 0.000000 0 1.352040
[8990.116869 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.956978 0 0.000000 0 1.361448
[8990.455463 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 8.988965 0 0.000000 0 1.362033
[9041.045671 2023-06-27 15:00:45 ] [I|ap]:[ADSP]tof_hpf 9.018970 0 0.000000 0 1.361973
[9092.494890 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.050964 0 0.000000 0 1.363316
[9093.400931 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.080959 0 0.000000 0 1.366453
[9144.842859 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.112959 0 0.000000 0 1.365434
[9145.442494 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.142990 0 0.000000 0 1.353855
[9196.390202 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.174975 0 0.000000 0 1.332893
[9247.120150 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.206978 0 0.000000 0 1.323981
[9247.470411 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.236969 0 0.000000 0 1.328517
[9298.298171 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.268970 0 0.000000 0 1.329908
[9298.912806 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.296989 0 0.000000 0 1.327080
[9349.727598 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.330960 0 0.000000 0 1.342589
[9400.490306 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.360960 0 0.000000 0 1.341144
[9400.938848 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.390965 0 0.000000 0 1.346039
[9451.973796 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.422966 0 0.000000 0 1.354113
[9502.825983 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.454960 0 0.000000 0 1.358417
[9503.347911 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.484963 0 0.000000 0 1.357658
[9555.912129 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.514960 0 0.000000 0 1.354477
[9556.319265 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.546966 0 0.000000 0 1.354283
[9606.973171 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.578902 0 0.000000 0 1.358134
[9657.934890 2023-06-27 15:01:29 ] [I|ap]:[ADSP]tof_hpf 9.610967 0 0.000000 0 1.356247
