[66592.971639 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.575662 -16.723629 0.6457511
[66593.200441 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.577684 -16.723629 -0.898969
[66593.509295 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.579671 -16.723629 0.2240719
[66593.767472 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.581664 -16.723629 0.0909309
[66594.032837 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.583642 -16.723629 -0.080220
[66594.830441 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.585698 -16.723629 0.0133710
[66595.151691 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.587696 -16.723629 0.0107110
[66595.732837 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.589669 -16.723629 -0.006860
[66595.995754 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.591671 -16.723629 0.0005600
[66596.599920 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.593659 -16.723629 0.0011450
[66596.934243 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.595680 -16.723629 -0.000560
[66647.801743 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.597681 -16.723629 -0.000008
[66648.132524 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.599646 -16.723629 0.0001158
[66648.819556 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.601640 -16.723629 -0.000044
[66650.824139 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.603658 -12.934065 0.7643194
[66651.315545 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.605669 -12.934065 -1.064018
[66651.819503 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.607654 -12.934065 0.2652088
[66652.403514 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.609654 -12.934065 0.1076258
[66652.700806 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.611646 -12.934065 -0.094947
[66652.938983 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.613659 -12.934065 0.0158257
[66653.165441 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.615649 -12.934065 0.0126787
[66653.433306 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.617660 -12.934065 -0.008119
[66653.678566 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.619643 -12.934065 0.0006629
[66653.928931 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.621640 -12.934065 0.0013559
[66654.651274 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.623646 -12.934065 -0.000663
[66655.586170 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.625661 -12.934065 -0.000010
[66655.950389 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.627657 -12.934065 0.0001360
[66656.835285 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.629643 -12.934065 -0.000051
[66658.813410 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.631645 -12.934065 -0.000007
[66659.117056 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.633645 -11.220471 0.3456317
[66659.537628 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.635652 -11.220471 -0.481145
[66660.186847 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.637656 -11.220471 0.1199245
[66660.734347 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.639649 -11.220471 0.0486695
[66661.164347 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.641648 -11.220471 -0.042935
[66661.605493 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.643726 -11.220471 0.0071565
[66661.968983 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.645654 -11.220471 0.0057335
[66662.545753 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.647695 -11.220471 -0.003671
[66662.833826 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.649695 -11.220471 0.0002991
[66663.146118 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.651678 -11.220471 0.0006131
[66663.529608 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.653650 -11.220471 -0.000300
[66663.862264 2023-05-11 11:01:26 ] [I|ap]:[ADSP]tof_hpf 66.655649 -11.220471 -0.000004
